Key,English
Question1Answer1,1111
Question1Answer2,11111
Question1Answer3,11111
Question1Answer4,111111
Question2Answer1,22222
Question2Answer2,22222
Question2Answer3,22222
Question2Answer4,222222
Question3Answer1,33333
Question3Answer2,33333
Question3Answer3,3333
Question3Answer4,33333
Question4Answer1,44444
Question4Answer2,44444
Question4Answer3,444444
Question4Answer4,444444
Question5Answer1,55555
Question5Answer2,55555
Question5Answer3,55555
Question5Answer4,55555
Question6Answer1,6666
Question6Answer2,66666
Question6Answer3,66666
Question6Answer4,66666
Question7Answer1,777777
Question7Answer2,777777
Question7Answer3,77777
Question7Answer4,777777
Question8Answer1,88888
Question8Answer2,888888
Question8Answer3,88888
Question8Answer4,88888
Question9Answer1,99999
Question9Answer2,99999
Question9Answer3,99999
Question9Answer4,99999
Question10Answer1,0
Question10Answer2,0
Question10Answer3,0
Question10Answer4,0
